ONev,OURL,OKep,ORLeiras,OKulcszsavak,OTipus,OSzulo,OPrioritas,OTartalom
"Alkategória 1.1.",alkategoria_1.1.,Tkep_54_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 1.",1,
"Alkategória 1.2.",alkategoria_1.2.,Tkep_1_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 1.",1,
"Alkategória 1.3.",alkategoria_1.3.,Tkep_3_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 1.",1,
"Alkategória 1.4.",alkategoria_1.4.,Tkep_4_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 1.",1,
"Alkategória 1.5.",alkategoria_1.5.,Tkep_55_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 1.",1,
"Alkategória 2.1.",alkategoria_2.1.,Tkep_65_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 2.",1,
"Alkategória 2.2.",alkategoria_2.2.,Tkep_5_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 2.",1,
"Alkategória 2.3.",alkategoria_2.3.,Tkep_6_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 2.",1,
"Alkategória 2.4.",alkategoria_2.4.,Tkep_7_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 2.",1,
"Alkategória 2.5.",alkategoria_2.5.,Tkep_8_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 2.",1,
"Alkategória 2.6.",alkategoria_2.6.,Tkep_9_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 2.",1,
"Alkategória 2.7.",alkategoria_2.7.,Tkep_10_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 2.",1,
"Alkategória 3.1.",alkategoria_3.1.,Tkep_11_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 3.",1,
"Alkategória 3.2.",alkategoria_3.2.,Tkep_12_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 3.",1,
"Alkategória 3.3.",alkategoria_3.3.,Tkep_13_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 3.",1,
"Alkategória 3.4.",alkategoria_3.4.,Tkep_14_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 3.",1,
"Alkategória 4.1.",alkategoria_4.1.,Tkep_19_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 4.",1,
"Alkategória 4.2.",alkategoria_4.2.,Tkep_20_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 4.",1,
"Alkategória 4.3.",alkategoria_4.3.,Tkep_21_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 4.",1,
"Alkategória 4.4.",alkategoria_4.4.,Tkep_22_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 4.",1,
"Alkategória 5.1.",alkategoria_5.1.,Tkep_27_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 5.",1,
"Alkategória 5.2.",alkategoria_5.2.,Tkep_41_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 5.",1,
"Alkategória 5.3.",alkategoria_5.3.,Tkep_42_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 5.",1,
"Alkategória 5.4.",alkategoria_5.4.,Tkep_30_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 5.",1,
"Alkategória 5.5.",alkategoria_5.5.,Tkep_31_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 5.",1,
"Alkategória 5.6.",alkategoria_5.6.,Tkep_32_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 5.",1,
"Alkategória 5.7.",alkategoria_5.7.,Tkep_33_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 5.",1,
"Alkategória 5.8.",alkategoria_5.8.,Tkep_34_k.png,"Az alkategória rövid leírása....","Az, alkategória, kulcsszavai",2,"Kategória 5.",1,
