ONev,KNev,KURL,KLeiras,KSorszam
"Termék 1.","A kép neve",Tkep_54.png,"Mi látható a képen?",1
"Termék 2.","A kép neve",Tkep_55.png,"Mi látható a képen?",1
"Termék 3.","A kép neve",Tkep_63.png,"Mi látható a képen?",1
"Termék 4.","A kép neve",Tkep_1.png,"Mi látható a képen?",1
"Termék 5.","A kép neve",Tkep_3.png,"Mi látható a képen?",1
"Termék 6.","A kép neve",Tkep_4.png,"Mi látható a képen?",1
"Termék 7.","A kép neve",Tkep_54.png,"Mi látható a képen?",1
"Termék 8.","A kép neve",Tkep_55.png,"Mi látható a képen?",1
"Termék 9.","A kép neve",Tkep_56.png,"Mi látható a képen?",1
"Termék 10.","A kép neve",Tkep_57.png,"Mi látható a képen?",1
"Termék 11.","A kép neve",Tkep_58.png,"Mi látható a képen?",1
"Termék 12.","A kép neve",Tkep_59.png,"Mi látható a képen?",1
"Termék 13.","A kép neve",Tkep_60.png,"Mi látható a képen?",1
"Termék 14.","A kép neve",Tkep_61.png,"Mi látható a képen?",1
"Termék 15.","A kép neve",Tkep_62.png,"Mi látható a képen?",1
"Termék 16.","A kép neve",Tkep_3.png,"Mi látható a képen?",1
"Termék 17.","A kép neve",Tkep_4.png,"Mi látható a képen?",1
"Termék 18.","A kép neve",Tkep_54.png,"Mi látható a képen?",1
"Termék 19.","A kép neve",Tkep_55.png,"Mi látható a képen?",1
"Termék 20.","A kép neve",Tkep_56.png,"Mi látható a képen?",1
"Termék 21.","A kép neve",Tkep_57.png,"Mi látható a képen?",1
"Termék 22.","A kép neve",Tkep_58.png,"Mi látható a képen?",1
"Termék 23.","A kép neve",Tkep_59.png,"Mi látható a képen?",1
"Termék 24.","A kép neve",Tkep_60.png,"Mi látható a képen?",1
"Termék 25.","A kép neve",Tkep_61.png,"Mi látható a képen?",1
"Termék 26.","A kép neve",Tkep_62.png,"Mi látható a képen?",1
"Termék 27.","A kép neve",Tkep_63.png,"Mi látható a képen?",1
"Termék 28.","A kép neve",Tkep_64.png,"Mi látható a képen?",1
"Termék 29.","A kép neve",Tkep_54.png,"Mi látható a képen?",1
"Termék 30.","A kép neve",Tkep_55.png,"Mi látható a képen?",1
"Termék 31.","A kép neve",Tkep_56.png,"Mi látható a képen?",1
"Termék 32.","A kép neve",Tkep_57.png,"Mi látható a képen?",1
"Termék 33.","A kép neve",Tkep_58.png,"Mi látható a képen?",1
"Termék 34.","A kép neve",Tkep_59.png,"Mi látható a képen?",1
"Termék 35.","A kép neve",Tkep_60.png,"Mi látható a képen?",1
"Termék 36.","A kép neve",Tkep_61.png,"Mi látható a képen?",1
"Termék 37.","A kép neve",Tkep_62.png,"Mi látható a képen?",1
"Termék 38.","A kép neve",Tkep_63.png,"Mi látható a képen?",1
"Termék 39.","A kép neve",Tkep_64.png,"Mi látható a képen?",1
"Termék 40.","A kép neve",Tkep_54.png,"Mi látható a képen?",1
"Termék 41.","A kép neve",Tkep_55.png,"Mi látható a képen?",1
"Termék 42.","A kép neve",Tkep_56.png,"Mi látható a képen?",1
"Termék 43.","A kép neve",Tkep_57.png,"Mi látható a képen?",1
"Termék 44.","A kép neve",Tkep_58.png,"Mi látható a képen?",1
"Termék 45.","A kép neve",Tkep_59.png,"Mi látható a képen?",1
"Termék 46.","A kép neve",Tkep_60.png,"Mi látható a képen?",1
"Termék 47.","A kép neve",Tkep_64.png,"Mi látható a képen?",1
"Termék 48.","A kép neve",Tkep_1.png,"Mi látható a képen?",1
"Termék 49.","A kép neve",Tkep_63.png,"Mi látható a képen?",1
"Termék 50.","A kép neve",Tkep_64.png,"Mi látható a képen?",1
"Termék 51.","A kép neve",Tkep_49.png,"Mi látható a képen?",1
"Termék 52.","A kép neve",Tkep_50.png,"Mi látható a képen?",1
"Termék 53.","A kép neve",Tkep_51.png,"Mi látható a képen?",1
"Termék 54.","A kép neve",Tkep_52.png,"Mi látható a képen?",1
"Termék 55.","A kép neve",Tkep_53.png,"Mi látható a képen?",1
"Termék 56.","A kép neve",Tkep_54.png,"Mi látható a képen?",1
"Termék 57.","A kép neve",Tkep_55.png,"Mi látható a képen?",1
"Termék 58.","A kép neve",Tkep_56.png,"Mi látható a képen?",1
"Termék 59.","A kép neve",Tkep_57.png,"Mi látható a képen?",1
