ONev,Gyártó,"Képernyő méret",Memória,"Operációs rendszer",Üzemidő,"Felbontás
"
"Termék 1.","1. gyártó","4.7 col","2 GB","Android 4.1","20 óra","320x480
"
"Termék 2.","1. gyártó","5 col","1 GB","Android 4.2","50 óra","240x320
"
"Termék 3.","2. gyártó","4.4 col","1 GB","Android 4.4","2 óra","320x480
"
"Termék 4.","2. gyártó","4.7 col","4 GB","Android 4.2","78 óra","240x320
"
"Termék 5.","1. gyártó","5.2 col","2 GB","Android 4.1","132 óra","320x480
"
"Termék 6.","3. gyártó","6.2 col","2 GB","Android 4.2","41 óra","240x320
"
"Termék 7.","4. gyártó","4.5 col","1 GB","Android 4.1","8 óra","320x480
"
"Termék 8.","4. gyártó","4.7 col","16 GB","Android 4.4","8 óra","240x320
"
"Termék 9.","1. gyártó","4.7 col","2 GB","Android 4.1","20 óra","320x480
"
"Termék 10.","1. gyártó","5 col","1 GB","Android 4.2","50 óra","240x320
"
"Termék 11.","2. gyártó","4.4 col","1 GB","Android 4.4","2 óra","320x480
"
"Termék 12.","2. gyártó","4.7 col","4 GB","Android 4.2","78 óra","240x320
"
"Termék 13.","1. gyártó","5.2 col","2 GB","Android 4.1","132 óra","320x480
"
"Termék 14.","3. gyártó","6.2 col","2 GB","Android 4.2","41 óra","240x320
"
"Termék 15.","4. gyártó","4.5 col","1 GB","Android 4.1","8 óra","320x480
"
"Termék 16.","4. gyártó","4.7 col","16 GB","Android 4.4","8 óra","240x320
"
"Termék 17.","1. gyártó","4.7 col","2 GB","Android 4.1","20 óra","320x480
"
"Termék 18.","1. gyártó","5 col","1 GB","Android 4.2","50 óra","240x320
"
"Termék 19.","2. gyártó","4.4 col","1 GB","Android 4.4","2 óra","320x480
"
"Termék 20.","2. gyártó","4.7 col","4 GB","Android 4.2","78 óra","240x320
"
"Termék 21.","1. gyártó","5.2 col","2 GB","Android 4.1","132 óra","320x480
"
"Termék 22.","3. gyártó","6.2 col","2 GB","Android 4.2","41 óra","240x320
"
"Termék 23.","4. gyártó","4.5 col","1 GB","Android 4.1","8 óra","320x480
"
"Termék 24.","4. gyártó","4.7 col","16 GB","Android 4.4","8 óra","240x320
"
"Termék 25.","1. gyártó","4.7 col","2 GB","Android 4.1","20 óra","320x480
"
"Termék 26.","1. gyártó","5 col","1 GB","Android 4.2","50 óra","240x320
"
"Termék 27.","2. gyártó","4.4 col","1 GB","Android 4.4","2 óra","320x480
"
"Termék 28.","2. gyártó","4.7 col","4 GB","Android 4.2","78 óra","240x320
"
"Termék 29.","1. gyártó","5.2 col","2 GB","Android 4.1","132 óra","320x480
"
"Termék 30.","3. gyártó","6.2 col","2 GB","Android 4.2","41 óra","240x320
"
"Termék 31.","4. gyártó","4.5 col","1 GB","Android 4.1","8 óra","320x480
"
"Termék 32.","4. gyártó","4.7 col","16 GB","Android 4.4","8 óra","240x320
"
"Termék 33.","1. gyártó","4.4 col","1 GB","Android 4.1","20 óra","320x480
"
"Termék 34.","1. gyártó","4.7 col","4 GB","Android 4.2","50 óra","240x320
"
"Termék 35.","2. gyártó","5.2 col","2 GB","Android 4.4","2 óra","320x480
"
"Termék 36.","2. gyártó","6.2 col","2 GB","Android 4.2","78 óra","240x320
"
"Termék 37.","1. gyártó","4.5 col","1 GB","Android 4.1","132 óra","320x480
"
"Termék 38.","3. gyártó","4.7 col","16 GB","Android 4.2","41 óra","240x320
"
"Termék 39.","4. gyártó","4.7 col","2 GB","Android 4.1","8 óra","320x480
"
"Termék 40.","4. gyártó","5 col","1 GB","Android 4.4","8 óra","240x320
"
